"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"8510";"«Мелькомбинат № 3», 1-я Магистральная улица (8510)";"37.52451414";"55.76936975";"1-я Магистральная улица";"Северный административный округ";"Хорошёвский район";"А27; А294";"Мелькомбинат № 3";"";"да";"ГУП «Мосгортранс»";"активна";"889092657";"{""coordinates"":[37.52451414,55.76936975],""type"":""Point""}";"";
"8511";"«З-д мех. игрушки», 1-я Магистральная улица (8511)";"37.53190067";"55.76744264";"1-я Магистральная улица";"Северный административный округ";"Хорошёвский район";"А27; А294";"З-д мех. игрушки";"";"да";"ГУП «Мосгортранс»";"активна";"889092658";"{""coordinates"":[37.53190067,55.76744264],""type"":""Point""}";"";
"8512";"«2-я Магистральная ул.», 2-я Магистральная улица (8512)";"37.53380253";"55.76464813";"2-я Магистральная улица";"Центральный административный округ";"Пресненский район";"А27; А294";"2-я Магистральная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092659";"{""coordinates"":[37.53380253,55.76464813],""type"":""Point""}";"";
"8513";"«3-я Магистральная ул.», 2-я Магистральная улица (8513)";"37.52740416";"55.76123539";"2-я Магистральная улица";"Центральный административный округ";"Пресненский район";"А27; А294";"3-я Магистральная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092660";"{""coordinates"":[37.52740416,55.76123539],""type"":""Point""}";"";
"8514";"«3-я Магистральная ул.», 2-я Магистральная улица (8514)";"37.52793931";"55.76163555";"2-я Магистральная улица";"Северный административный округ";"Хорошёвский район";"А27; А294";"3-я Магистральная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092661";"{""coordinates"":[37.52793931,55.76163555],""type"":""Point""}";"";
"8515";"«2-я Магистральная ул.», 2-я Магистральная улица (8515)";"37.53286403";"55.76421879";"2-я Магистральная улица";"Северный административный округ";"Хорошёвский район";"А27; А294";"2-я Магистральная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092662";"{""coordinates"":[37.53286403,55.76421879],""type"":""Point""}";"";
"8518";"«1-я Магистральная ул., 23», 1-я Магистральная улица (8518)";"37.51977987";"55.7704926";"1-я Магистральная улица";"Северный административный округ";"Хорошёвский район";"А27; А294";"1-я Магистральная ул., 23";"";"да";"ГУП «Мосгортранс»";"активна";"889092664";"{""coordinates"":[37.51977987,55.7704926],""type"":""Point""}";"";
"8519";"«Ул. Ген. Глаголева, 20», улица Генерала Глаголева (8519)";"37.46223782";"55.78257965";"улица Генерала Глаголева";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155";"Ул. Ген. Глаголева, 20";"";"да";"ГУП «Мосгортранс»";"активна";"889092665";"{""coordinates"":[37.46223782,55.78257965],""type"":""Point""}";"";
"8520";"«Детская п-ка», Большая Серпуховская улица (8520)";"37.62528313";"55.71798964";"Большая Серпуховская улица";"Южный административный округ";"Даниловский район";"А41";"Детская п-ка";"";"нет";"";"активна";"889092666";"{""coordinates"":[37.62528313,55.71798964],""type"":""Point""}";"";
"8521";"«Александровские казармы», Большая Серпуховская улица (8521)";"37.62347685";"55.71543008";"Большая Серпуховская улица";"Южный административный округ";"Даниловский район";"А41";"Александровские казармы";"";"нет";"";"активна";"889092667";"{""coordinates"":[37.62347685,55.71543008],""type"":""Point""}";"";
