name_bulding,name_stop,distance
Прайм Тайм,"«Метро Аэропорт (южн.)», Ленинградский проспект (1020)",824.86231403
Прайм Тайм,"«Ул. Константина Симонова», Ленинградский проспект (1000516)",838.2582122
Прайм Тайм,"«Новопесчаная ул.», Новопесчаная улица (874)",850.46176607
Прайм Тайм,"«Ул. Лизы Чайкиной», Ленинградский проспект (1021)",868.0540278
Прайм Тайм,"«Песчаная пл.», Песчаная площадь (830)",880.35692002
Прайм Тайм,"«Ул. Сальвадора Альенде», Песчаный переулок (14272)",893.50809391
Прайм Тайм,"«Песчаная пл. (выс.)», Песчаная площадь (7396)",930.96241801
Прайм Тайм,"«Песчаная пл. (пос.)», Песчаная площадь (877)",951.66620138
Прайм Тайм,"«Новопесчаная ул., 3», Новопесчаная улица (833)",952.34827562
Прайм Тайм,"«Спортивный комплекс ЦСКА», Ленинградский проспект (1011)",964.00804609
Прайм Тайм,"«Ул. Константина Симонова», Ленинградский проспект (1019)",970.80070245
Прайм Тайм,"«Пл. Марины Расковой», Ленинградский проспект (1008)",990.50575499
Прайм Тайм,"«Международный центр научно-технической информации», улица Куусинена (1729)",991.83402762
